iter	Passed	Remaining
861	1478	236
862	1479	234
863	1482	233
864	1485	231
865	1488	230
866	1489	228
867	1490	226
868	1491	224
869	1492	222
870	1492	221
871	1493	219
872	1500	218
873	1503	216
874	1504	214
875	1505	213
876	1506	211
877	1507	209
878	1508	207
879	1509	205
880	1510	204
881	1513	202
882	1515	200
883	1517	199
884	1518	197
885	1519	195
886	1520	193
887	1521	191
888	1521	190
889	1522	188
890	1523	186
891	1524	184
892	1527	183
893	1530	181
894	1531	179
895	1532	177
896	1533	176
897	1534	174
898	1534	172
899	1535	170
900	1536	168
901	1537	167
902	1538	165
903	1538	163
904	1541	161
905	1543	160
906	1546	158
907	1547	156
908	1548	154
909	1549	153
910	1550	151
911	1551	149
912	1552	147
913	1553	146
914	1553	144
915	1558	142
916	1560	141
917	1562	139
918	1563	137
919	1564	136
920	1565	134
921	1565	132
922	1566	130
923	1567	128
924	1568	127
925	1569	125
926	1573	123
927	1575	122
928	1576	120
929	1577	118
930	1578	116
931	1579	115
932	1580	113
933	1581	111
934	1582	110
935	1583	108
936	1585	106
937	1587	104
938	1589	103
939	1591	101
940	1592	99
941	1593	98
942	1594	96
943	1595	94
944	1596	92
945	1596	91
946	1597	89
947	1600	87
948	1602	86
949	1604	84
950	1607	82
951	1607	81
952	1608	79
953	1609	77
954	1610	75
955	1611	74
956	1612	72
957	1616	70
958	1618	69
959	1619	67
960	1620	65
961	1621	64
962	1622	62
963	1623	60
964	1624	58
965	1625	57
966	1626	55
967	1627	53
968	1630	52
969	1633	50
970	1634	48
971	1635	47
972	1636	45
973	1637	43
974	1638	42
975	1639	40
976	1640	38
977	1641	36
978	1642	35
979	1644	33
980	1646	31
981	1648	30
982	1649	28
983	1651	26
984	1652	25
985	1653	23
986	1653	21
987	1654	20
988	1655	18
989	1656	16
990	1657	15
991	1659	13
992	1662	11
993	1664	10
994	1665	8
995	1666	6
996	1666	5
997	1668	3
998	1668	1
999	1669	0
